event_id,context,pid,engine_step_id,forward_id,phase,total_num_scheduled_tokens,layer_id,layer_type,q_len,matched,instrumented,status,error,duration_ns
input4_layer53,4-8K,69298,4,4,decode,1,53,linear_attention,1,False,False,ok,,1803966
input4_layer54,4-8K,69298,4,4,decode,1,54,linear_attention,1,False,False,ok,,1793936
input4_layer55,4-8K,69298,4,4,decode,1,55,full_attention,1,False,False,ok,,2369301
input4_layer56,4-8K,69298,4,4,decode,1,56,linear_attention,1,False,False,ok,,1809076
input4_layer57,4-8K,69298,4,4,decode,1,57,linear_attention,1,False,False,ok,,1809156
input4_layer58,4-8K,69298,4,4,decode,1,58,linear_attention,1,False,False,ok,,1808926
input4_layer59,4-8K,69298,4,4,decode,1,59,full_attention,1,False,False,ok,,2388451
input4_layer60,4-8K,69298,4,4,decode,1,60,linear_attention,1,False,False,ok,,1825986
input4_layer61,4-8K,69298,4,4,decode,1,61,linear_attention,1,False,False,ok,,1809757
input4_layer62,4-8K,69298,4,4,decode,1,62,linear_attention,1,False,False,ok,,1846037
input4_layer63,4-8K,69298,4,4,decode,1,63,full_attention,1,False,False,ok,,2396181
input5_layer0,4-8K,69298,5,5,decode,1,0,linear_attention,1,False,False,ok,,1950657
input5_layer1,4-8K,69298,5,5,decode,1,1,linear_attention,1,False,False,ok,,1855506
input5_layer2,4-8K,69298,5,5,decode,1,2,linear_attention,1,False,False,ok,,2020208
input5_layer3,4-8K,69298,5,5,decode,1,3,full_attention,1,False,False,ok,,2462942
input5_layer4,4-8K,69298,5,5,decode,1,4,linear_attention,1,False,False,ok,,1850916
input5_layer5,4-8K,69298,5,5,decode,1,5,linear_attention,1,False,False,ok,,1822247
input5_layer6,4-8K,69298,5,5,decode,1,6,linear_attention,1,False,False,ok,,1825186
input5_layer7,4-8K,69298,5,5,decode,1,7,full_attention,1,False,False,ok,,2393441
input5_layer8,4-8K,69298,5,5,decode,1,8,linear_attention,1,False,False,ok,,1827286
input5_layer9,4-8K,69298,5,5,decode,1,9,linear_attention,1,False,False,ok,,1809856
input5_layer10,4-8K,69298,5,5,decode,1,10,linear_attention,1,False,False,ok,,1839077
input5_layer11,4-8K,69298,5,5,decode,1,11,full_attention,1,False,False,ok,,2378672
input5_layer12,4-8K,69298,5,5,decode,1,12,linear_attention,1,False,False,ok,,1826866
input5_layer13,4-8K,69298,5,5,decode,1,13,linear_attention,1,False,False,ok,,1805476
input5_layer14,4-8K,69298,5,5,decode,1,14,linear_attention,1,False,False,ok,,1815016
input5_layer15,4-8K,69298,5,5,decode,1,15,full_attention,1,False,False,ok,,2371761
input5_layer16,4-8K,69298,5,5,decode,1,16,linear_attention,1,False,False,ok,,1816246
input5_layer17,4-8K,69298,5,5,decode,1,17,linear_attention,1,False,False,ok,,1837146
input5_layer18,4-8K,69298,5,5,decode,1,18,linear_attention,1,False,False,ok,,1811886
input5_layer19,4-8K,69298,5,5,decode,1,19,full_attention,1,False,False,ok,,2380951
input5_layer20,4-8K,69298,5,5,decode,1,20,linear_attention,1,False,False,ok,,1824496
input5_layer21,4-8K,69298,5,5,decode,1,21,linear_attention,1,False,False,ok,,2515872
